Date,Open,High,Low,Close,Adj Close,Volume
2016-12-20,0.51,0.513,0.51,0.513,0.513,0
2016-12-21,0.51,0.51,0.503,0.503,0.503,0
2016-12-22,0.485,0.495,0.483,0.493,0.493,0
2016-12-23,0.485,0.5,0.485,0.5,0.5,0
2016-12-27,0.505,0.528,0.495,0.495,0.495,0
2016-12-28,0.518,0.525,0.495,0.495,0.495,0
2016-12-29,0.483,0.483,0.42,0.44,0.44,0
2016-12-30,0.445,0.488,0.445,0.48,0.48,0
2017-01-03,0.488,0.49,0.475,0.475,0.475,0
2017-01-04,0.518,0.52,0.518,0.518,0.518,0
2017-01-05,0.51,0.51,0.503,0.508,0.508,0
2017-01-06,0.503,0.508,0.5,0.503,0.503,0
2017-01-09,0.5,0.5,0.483,0.485,0.485,0
2017-01-10,0.5,0.505,0.5,0.503,0.503,0
2017-01-11,0.498,0.503,0.495,0.498,0.498,0
2017-01-12,0.493,0.503,0.493,0.503,0.503,0
2017-01-13,0.503,0.513,0.503,0.513,0.513,0
2017-01-17,0.508,0.518,0.505,0.513,0.513,0
2017-01-18,0.528,0.535,0.513,0.515,0.515,0
2017-01-19,0.508,0.508,0.498,0.503,0.503,0
2017-01-20,0.48,0.488,0.478,0.48,0.48,0
2017-01-23,0.485,0.485,0.473,0.473,0.473,0
2017-01-24,0.5,0.5,0.493,0.493,0.493,0
2017-01-25,0.493,0.493,0.48,0.483,0.483,0
2017-01-26,0.483,0.49,0.483,0.488,0.488,0
2017-01-27,0.488,0.498,0.488,0.498,0.498,0
2017-01-30,0.498,0.505,0.495,0.495,0.495,0
2017-01-31,0.508,0.508,0.5,0.5,0.5,0
2017-02-01,0.505,0.51,0.498,0.5,0.5,0
2017-02-02,0.493,0.493,0.48,0.488,0.488,0
2017-02-03,0.485,0.488,0.483,0.488,0.488,0
2017-02-06,0.488,0.508,0.488,0.503,0.503,0
2017-02-07,0.518,0.525,0.518,0.525,0.525,0
2017-02-08,0.523,0.525,0.52,0.525,0.525,0
2017-02-09,0.523,0.528,0.523,0.528,0.528,0
2017-02-10,0.523,0.528,0.52,0.523,0.523,0
2017-02-13,0.52,0.523,0.515,0.523,0.523,0
2017-02-14,0.533,0.538,0.528,0.535,0.535,0
2017-02-15,0.525,0.53,0.52,0.52,0.52,0
2017-02-16,0.518,0.518,0.503,0.508,0.508,0
2017-02-17,0.5,0.508,0.5,0.508,0.508,0
2017-02-21,0.505,0.508,0.505,0.505,0.505,0
2017-02-22,0.528,0.528,0.51,0.51,0.51,0
2017-02-23,0.5,0.5,0.495,0.498,0.498,0
2017-02-24,0.495,0.498,0.49,0.498,0.498,0
2017-02-27,0.495,0.498,0.488,0.49,0.49,0
2017-02-28,0.513,0.523,0.51,0.523,0.523,0
2017-03-01,0.625,0.643,0.608,0.615,0.615,0
2017-03-02,0.655,0.69,0.625,0.645,0.645,0
2017-03-03,0.633,0.69,0.633,0.683,0.683,0
2017-03-06,0.683,0.718,0.68,0.705,0.705,0
2017-03-07,0.728,0.743,0.725,0.735,0.735,0
2017-03-08,0.753,0.755,0.708,0.708,0.708,0
2017-03-09,0.703,0.713,0.698,0.713,0.713,0
2017-03-10,0.71,0.733,0.708,0.725,0.725,0
2017-03-13,0.725,0.743,0.72,0.728,0.728,0
2017-03-14,0.765,0.765,0.753,0.753,0.753,0
2017-03-15,0.75,0.753,0.715,0.715,0.715,0
2017-03-16,0.7,0.723,0.7,0.708,0.708,0
2017-03-17,0.71,0.718,0.705,0.708,0.708,0
2017-03-20,0.708,0.713,0.708,0.71,0.71,0
2017-03-21,0.758,0.758,0.753,0.753,0.753,0
2017-03-22,0.753,0.755,0.748,0.748,0.748,0
2017-03-23,0.745,0.75,0.745,0.748,0.748,0
2017-03-24,0.748,0.755,0.748,0.748,0.748,0
2017-03-27,0.748,0.76,0.748,0.758,0.758,0
2017-03-28,0.773,0.775,0.773,0.773,0.773,0
2017-03-29,0.77,0.77,0.755,0.755,0.755,0
2017-03-30,0.753,0.758,0.75,0.758,0.758,0
2017-03-31,0.74,0.74,0.738,0.738,0.738,0
2017-04-03,0.74,0.745,0.738,0.74,0.74,0
2017-04-04,0.778,0.78,0.778,0.78,0.78,0
2017-04-05,0.78,0.785,0.78,0.78,0.78,0
2017-04-06,0.778,0.79,0.778,0.788,0.788,0
2017-04-07,0.785,0.798,0.783,0.798,0.798,0
2017-04-10,0.795,0.798,0.785,0.788,0.788,0
2017-04-11,0.805,0.805,0.8,0.8,0.8,0
2017-04-12,0.795,0.8,0.79,0.793,0.793,0
2017-04-13,0.788,0.793,0.788,0.79,0.79,0
2017-04-17,0.79,0.8,0.79,0.79,0.79,0
2017-04-18,0.805,0.81,0.8,0.805,0.805,0
2017-04-19,0.81,0.81,0.785,0.785,0.785,0
2017-04-20,0.78,0.785,0.77,0.77,0.77,0
2017-04-21,0.768,0.77,0.76,0.763,0.763,0
2017-04-24,0.778,0.778,0.768,0.77,0.77,0
2017-04-25,0.808,0.81,0.803,0.808,0.808,0
2017-04-26,0.805,0.81,0.798,0.803,0.803,0
2017-04-27,0.793,0.795,0.785,0.785,0.785,0
2017-04-28,0.778,0.783,0.778,0.78,0.78,0
2017-05-01,0.78,0.795,0.778,0.785,0.785,0
2017-05-02,0.84,0.845,0.84,0.843,0.843,0
2017-05-03,0.845,0.855,0.843,0.848,0.848,0
2017-05-04,0.848,0.855,0.848,0.855,0.855,0
2017-05-05,0.858,0.87,0.853,0.868,0.868,0
2017-05-08,0.87,0.883,0.87,0.87,0.87,0
2017-05-09,0.89,0.89,0.89,0.89,0.89,0
2017-05-10,0.888,0.888,0.875,0.875,0.875,0
2017-05-11,0.87,0.873,0.858,0.86,0.86,0
2017-05-12,0.86,0.86,0.85,0.855,0.855,0
2017-05-15,0.86,0.87,0.86,0.863,0.863,0
2017-05-16,0.89,0.893,0.89,0.89,0.89,0
2017-05-17,0.88,0.883,0.875,0.875,0.875,0
2017-05-18,0.868,0.893,0.868,0.893,0.893,0
2017-05-19,0.89,0.895,0.888,0.888,0.888,0
2017-05-22,0.893,0.895,0.878,0.878,0.878,0
2017-05-23,0.905,0.915,0.903,0.913,0.913,0
2017-05-24,0.905,0.91,0.905,0.905,0.905,0
2017-05-25,0.9,0.908,0.9,0.908,0.908,0
2017-05-26,0.905,0.91,0.903,0.91,0.91,0
2017-05-30,0.91,0.92,0.91,0.91,0.91,0
2017-05-31,0.95,0.955,0.95,0.95,0.95,0
2017-06-01,0.953,0.953,0.948,0.948,0.948,0
2017-06-02,0.948,0.955,0.943,0.953,0.953,0
2017-06-05,0.955,0.963,0.945,0.948,0.948,0
2017-06-06,0.96,0.96,0.958,0.958,0.958,0
2017-06-07,0.96,0.975,0.96,0.973,0.973,0
2017-06-08,0.965,0.975,0.965,0.973,0.973,0
2017-06-09,0.975,0.985,0.975,0.98,0.98,0
2017-06-12,0.98,0.985,0.973,0.973,0.973,0
2017-06-13,0.983,0.985,0.983,0.983,0.983,0
2017-06-14,0.983,0.995,0.975,0.983,0.983,0
2017-06-15,0.983,0.993,0.978,0.993,0.993,0
2017-06-16,0.988,0.988,0.983,0.985,0.985,0
2017-06-19,0.988,0.995,0.985,0.985,0.985,0
2017-06-20,1.003,1.003,0.993,0.993,0.993,0
2017-06-21,0.99,0.99,0.963,0.968,0.968,0
2017-06-22,0.958,0.958,0.93,0.933,0.933,0
2017-06-23,0.928,0.938,0.928,0.933,0.933,0
2017-06-26,0.94,0.943,0.928,0.933,0.933,0
2017-06-27,0.99,0.995,0.99,0.99,0.99,0
2017-06-28,0.99,0.99,0.985,0.985,0.985,0
2017-06-29,0.988,1.01,0.985,1.003,1.003,0
2017-06-30,0.995,1.0,0.993,0.993,0.993,0
2017-07-03,1.0,1.005,0.998,1.0,1.0,0
2017-07-05,1.03,1.03,1.02,1.02,1.02,0
2017-07-06,1.02,1.02,1.005,1.008,1.008,0
2017-07-07,1.01,1.015,1.008,1.008,1.008,0
2017-07-10,1.01,1.013,1.008,1.013,1.013,0
2017-07-11,1.033,1.035,1.033,1.033,1.033,0
2017-07-12,1.03,1.03,1.023,1.023,1.023,0
2017-07-13,1.023,1.023,1.013,1.013,1.013,0
2017-07-14,1.013,1.013,1.008,1.008,1.008,0
2017-07-17,1.005,1.02,1.005,1.02,1.02,0
2017-07-18,1.038,1.043,1.038,1.04,1.04,0
2017-07-19,1.04,1.095,1.04,1.085,1.085,0
2017-07-20,1.095,1.14,1.093,1.113,1.113,0
2017-07-21,1.12,1.138,1.12,1.138,1.138,0
2017-07-24,1.14,1.158,1.138,1.15,1.15,0
2017-07-25,1.17,1.173,1.135,1.143,1.143,0
2017-07-26,1.14,1.14,1.095,1.095,1.095,0
2017-07-27,1.09,1.09,1.075,1.078,1.078,0
2017-07-28,1.078,1.078,1.05,1.053,1.053,0
2017-07-31,1.05,1.053,1.035,1.053,1.053,0
2017-08-01,1.058,1.07,1.055,1.058,1.058,0
2017-08-02,1.06,1.06,1.048,1.05,1.05,0
2017-08-03,1.045,1.058,1.045,1.058,1.058,0
2017-08-04,1.055,1.058,1.053,1.053,1.053,0
2017-08-07,1.053,1.053,1.02,1.033,1.033,0
2017-08-08,1.02,1.03,1.02,1.03,1.03,0
2017-08-09,1.025,1.025,1.025,1.025,1.025,0
2017-08-10,1.025,1.025,1.018,1.018,1.018,0
2017-08-11,1.013,1.015,1.01,1.013,1.013,0
2017-08-14,1.015,1.018,1.003,1.003,1.003,0
2017-08-15,1.003,1.008,1.003,1.008,1.008,0
2017-08-16,1.005,1.01,0.985,0.985,0.985,0
2017-08-17,0.985,0.985,0.973,0.978,0.978,0
2017-08-18,0.975,0.99,0.973,0.988,0.988,0
2017-08-21,0.985,0.985,0.965,0.965,0.965,0
2017-08-22,0.995,0.995,0.993,0.995,0.995,0
2017-08-23,0.993,0.995,0.98,0.98,0.98,0
2017-08-24,0.983,0.998,0.983,0.998,0.998,0
2017-08-25,0.993,0.998,0.993,0.995,0.995,0
2017-08-28,0.995,1.005,0.99,1.005,1.005,0
2017-08-29,1.013,1.013,1.005,1.01,1.01,0
2017-08-30,1.01,1.01,0.995,0.998,0.998,0
2017-08-31,0.983,0.988,0.97,0.978,0.978,0
2017-09-01,0.98,0.993,0.973,0.985,0.985,0
2017-09-05,0.98,0.985,0.97,0.983,0.983,0
2017-09-06,1.018,1.04,1.015,1.038,1.038,0
2017-09-07,1.028,1.028,1.018,1.023,1.023,0
2017-09-08,1.018,1.023,1.018,1.02,1.02,0
2017-09-11,1.02,1.028,1.018,1.02,1.02,0
2017-09-12,1.023,1.023,1.018,1.018,1.018,0
2017-09-13,1.02,1.025,1.013,1.018,1.018,0
2017-09-14,1.018,1.028,1.018,1.028,1.028,0
2017-09-15,1.025,1.025,1.01,1.01,1.01,0
2017-09-18,1.013,1.015,1.0,1.0,1.0,0
2017-09-19,1.028,1.028,1.018,1.018,1.018,0
2017-09-20,1.015,1.023,1.01,1.02,1.02,0
2017-09-21,1.005,1.02,1.005,1.008,1.008,0
2017-09-22,1.005,1.008,1.0,1.003,1.003,0
2017-09-25,1.0,1.003,0.998,0.998,0.998,0
2017-09-26,1.04,1.045,1.04,1.043,1.043,0
2017-09-27,1.043,1.053,1.038,1.038,1.038,0
2017-09-28,1.033,1.035,1.03,1.03,1.03,0
2017-09-29,1.028,1.033,1.025,1.028,1.028,0
2017-10-02,1.033,1.033,1.013,1.013,1.013,0
2017-10-03,1.035,1.035,1.035,1.035,1.035,0
2017-10-04,1.04,1.045,1.04,1.043,1.043,0
2017-10-05,1.043,1.043,1.04,1.043,1.043,0
2017-10-06,1.048,1.05,1.043,1.043,1.043,0
2017-10-09,1.045,1.045,1.045,1.045,1.045,0
2017-10-10,1.048,1.06,1.048,1.055,1.055,0
2017-10-11,1.075,1.075,1.068,1.068,1.068,0
2017-10-12,1.063,1.063,1.053,1.053,1.053,0
2017-10-13,1.053,1.053,1.05,1.05,1.05,0
2017-10-16,1.05,1.058,1.05,1.055,1.055,0
2017-10-17,1.08,1.083,1.073,1.073,1.073,0
2017-10-18,1.075,1.075,1.068,1.068,1.068,0
2017-10-19,1.058,1.065,1.058,1.065,1.065,0
2017-10-20,1.065,1.075,1.065,1.075,1.075,0
2017-10-23,1.08,1.08,1.07,1.07,1.07,0
2017-10-24,1.098,1.098,1.098,1.098,1.098,0
2017-10-25,1.095,1.098,1.08,1.083,1.083,0
2017-10-26,1.08,1.083,1.075,1.08,1.08,0
2017-10-27,1.075,1.075,1.073,1.073,1.073,0
2017-10-30,1.073,1.08,1.073,1.075,1.075,0
2017-10-31,1.12,1.123,1.118,1.123,1.123,0
2017-11-01,1.123,1.138,1.123,1.138,1.138,0
2017-11-02,1.133,1.143,1.133,1.138,1.138,0
2017-11-03,1.135,1.148,1.135,1.148,1.148,0
2017-11-06,1.158,1.16,1.153,1.158,1.158,0
2017-11-07,1.185,1.208,1.185,1.188,1.188,0
2017-11-08,1.188,1.2,1.188,1.195,1.195,0
2017-11-09,1.205,1.228,1.203,1.203,1.203,0
2017-11-10,1.205,1.205,1.2,1.2,1.2,0
2017-11-13,1.2,1.2,1.18,1.185,1.185,0
2017-11-14,1.228,1.24,1.228,1.24,1.24,0
2017-11-15,1.233,1.245,1.23,1.23,1.23,0
2017-11-16,1.223,1.235,1.223,1.23,1.23,0
2017-11-17,1.23,1.24,1.23,1.24,1.24,0
2017-11-20,1.24,1.245,1.235,1.24,1.24,0
2017-11-21,1.283,1.29,1.275,1.278,1.278,0
2017-11-22,1.275,1.278,1.255,1.265,1.265,0
2017-11-24,1.263,1.263,1.235,1.24,1.24,0
2017-11-27,1.243,1.243,1.223,1.223,1.223,0
